ENV,PostgreSQL 18.4 on aarch64-unknown-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
CONFIG,checkpoint_timeout=1800;default_toast_compression=pglz;fsync=on;full_page_writes=on;max_connections=20;shared_buffers=32768;synchronous_commit=on
METRIC,label,operations,logical_writes,sql_reads,heap_bytes_delta,toast_bytes_delta,index_bytes_delta,wal_bytes,p50_ms,p95_ms,p99_ms
METRIC,tree_1000_initial,1,33,0,24576,0,8192,31160,33.467,33.467,33.467
METRIC,tree_1000_metadata,25,25,0,8192,0,8192,6200,0.789,0.934,2.214
METRIC,tree_1000_single_edit,25,50,75,32768,0,0,36128,3.138,4.988,10.883
METRIC,tree_1000_delete,1,2,3,0,0,0,1416,4.486,4.486,4.486
METRIC,tree_1000_reorder,1,4,6,0,0,0,2432,6.834,6.834,6.834
METRIC,tree_1000_bulk_100,1,200,300,131072,0,0,139776,296.169,296.169,296.169
METRIC,tree_1000_first_page,25,0,125,0,0,0,0,2.740,3.900,5.594
METRIC,tree_1000_historical_page,25,0,125,0,0,0,0,2.720,4.050,4.265
METRIC,delta_1000_32_edits,32,32,0,8192,0,16384,12544,1.392,1.883,5.570
METRIC,delta_1000_checkpoint,1,1,0,0,0,0,3744,1.992,1.992,1.992
METRIC,delta_1000_history_read32,25,0,50,0,0,0,0,1.651,1.944,2.180
METRIC,tree_10000_initial,1,324,0,196608,0,16384,227344,190.849,190.849,190.849
METRIC,tree_10000_metadata,25,25,0,0,0,0,6104,0.805,0.980,1.239
METRIC,tree_10000_single_edit,25,75,125,40960,0,0,44552,5.201,6.620,8.202
METRIC,tree_10000_delete,1,3,5,0,0,0,1752,5.389,5.389,5.389
METRIC,tree_10000_reorder,1,6,10,0,0,0,3232,8.577,8.577,8.577
METRIC,tree_10000_bulk_100,1,300,500,155648,0,8192,174568,456.344,456.344,456.344
METRIC,tree_10000_first_page,25,0,150,0,0,0,0,3.985,5.551,6.934
METRIC,tree_10000_historical_page,25,0,150,0,0,0,0,3.444,4.522,4.678
METRIC,delta_10000_32_edits,32,32,0,0,0,0,12376,1.473,2.111,2.459
METRIC,delta_10000_checkpoint,1,1,0,0,32768,0,35048,8.779,8.779,8.779
METRIC,delta_10000_history_read32,25,0,50,0,0,0,0,3.127,4.557,6.168
METRIC,tree_50000_initial,1,1615,0,1015808,0,40960,1135224,909.007,909.007,909.007
